x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_velocity
-1824000,608000,483.324645996,255.706039429,271.863067627,1.01057946682
-1702400,608000,1006.8782959,256.051818848,271.556304932,1003.60595703
-1580800,608000,380.891143799,247.183532715,271.545898438,24.7306690216
-1459200,608000,233.501815796,247.647842407,271.444335938,0.0787401795387
-1337600,608000,167.10786438,245.598358154,271.306640625,637.002319336
-1216000,608000,156.052276611,244.45791626,271.29901123,693.700134277
-1094400,608000,160.144332886,243.164642334,271.344787598,371.578613281
-972800,608000,161.66809082,242.049560547,271.447937012,368.979217529
-851200,608000,157.79335022,242.556213379,271.537261963,203.384414673
-729600,608000,138.257720947,240.233505249,271.616912842,47.4211730957
-608000,608000,150.058349609,242.801559448,271.691925049,70.3851623535
-486400,608000,107.169082642,239.761199951,271.8387146,5.09564256668
-364800,608000,88.168006897,234.886978149,271.853668213,2.67465090752
-243200,608000,77.7103347778,233.139465332,271.921813965,0.897910296917
-121600,608000,57.6981048584,228.821716309,271.982055664,0.651170551777
0,608000,45.5427322388,225.306915283,272.039428711,0.784159600735
121600,608000,39.892868042,222.810714722,272.098236084,0.823946595192
243200,608000,38.8985290527,224.042816162,271.949066162,6.13042593002
364800,608000,38.6814117432,224.626022339,272.204864502,22.4219322205
486400,608000,37.6868629456,222.027038574,272.264160156,13.0268182755
608000,608000,27.8123645782,219.195144653,272.318023682,6.19659662247
729600,608000,20.850643158,216.037033081,272.367645264,3.62736058235
851200,608000,20.8099193573,214.303283691,272.413635254,1.3431199789
972800,608000,27.6098670959,217.34286499,272.459533691,9.56501197815
1094400,608000,43.4599380493,222.67855835,272.501403809,23.5379695892
1216000,608000,61.1404151917,227.979354858,272.536743164,31.9580497742
1337600,608000,72.7085952759,232.277145386,272.599273682,24.7872848511
1459200,608000,81.9816055298,235.632354736,272.707702637,6.1557302475
1580800,608000,77.9404144287,240.590377808,272.681121826,252.003616333
1702400,608000,67.1355361938,241.546005249,272.586090088,9.42150688171
1824000,608000,64.7468643188,244.48866272,272.239654541,19.7821121216
1945600,608000,83.5544891357,245.353393555,272.105072021,16.3619213104
2067200,608000,158.668655396,248.325561523,272.21786499,7.8736615181
-1824000,486400,680.708251953,261.057281494,271.845855713,258.504699707
-1702400,486400,935.46697998,255.49861145,271.636016846,8.87596035004
-1580800,486400,283.663208008,248.218475342,271.556243896,5.31612586975
-1459200,486400,234.325775146,246.74307251,271.476898193,0.129844114184
-1337600,486400,211.563598633,244.781341553,271.294067383,391.767822266
-1216000,486400,182.551177979,243.345397949,271.249694824,469.196716309
-1094400,486400,190.611541748,242.815551758,271.369445801,62.1011390686
-972800,486400,183.907974243,241.316925049,271.395294189,61.2370452881
-851200,486400,197.665985107,240.256561279,271.560577393,55.9383354187
-729600,486400,196.987243652,239.800918579,271.63092041,116.911849976
-608000,486400,168.878509521,241.172439575,271.708709717,0.945185422897
-486400,486400,117.108909607,239.558624268,271.783630371,4.72921228409
-364800,486400,92.9615707397,235.900146484,271.847808838,0.767015397549
-243200,486400,71.6344680786,231.93296814,271.903259277,0.463282555342
-121600,486400,58.6334571838,228.170623779,271.951751709,0.581801235676
0,486400,45.9054298401,224.546783447,272.00189209,0.0845750123262
121600,486400,42.1864700317,223.032806396,272.121795654,1.12241983414
243200,486400,43.6562423706,224.768096924,272.09475708,11.8176326752
364800,486400,40.1322212219,223.50302124,272.159423828,16.3226890564
486400,486400,29.5116786957,219.943130493,272.212585449,8.28327941895
608000,486400,26.7799816132,218.469848633,272.264343262,6.68725585938
729600,486400,22.901424408,215.025939941,272.313934326,3.53106665611
851200,486400,20.4892597198,214.660614014,272.361480713,1.02006649971
972800,486400,28.8025074005,217.291778564,272.409912109,6.99740791321
1094400,486400,39.5190124512,221.96496582,272.452362061,9.78610134125
