x-axis,y-axis,precipitation,precip_1,precip_2,precip_3,precip_4,precip_5,precip_6,precip_7,precip_8
-2188800,2675200,575.01159668,585.124816895,548.642150879,532.721374512,574.278259277,629.660522461,623.749755859,639.090759277,601.879150391
-2067200,2675200,574.278259277,548.642150879,532.721374512,535.63659668,587.101135254,642.504577637,629.660522461,623.749755859,575.01159668
-1945600,2675200,587.101135254,532.721374512,535.63659668,544.703857422,593.201904297,635.005065918,642.504577637,629.660522461,574.278259277
-1824000,2675200,593.201904297,535.63659668,544.703857422,548.289489746,586.335510254,611.15411377,635.005065918,642.504577637,587.101135254
-1702400,2675200,586.335510254,544.703857422,548.289489746,551.482055664,576.10357666,600.429260254,611.15411377,635.005065918,593.201904297
-1580800,2675200,576.10357666,548.289489746,551.482055664,570.650512695,587.212768555,597.046508789,600.429260254,611.15411377,586.335510254
-1459200,2675200,587.212768555,551.482055664,570.650512695,562.595397949,586.847106934,581.50958252,597.046508789,600.429260254,576.10357666
-1337600,2675200,586.847106934,570.650512695,562.595397949,552.481445312,581.518005371,570.389526367,581.50958252,597.046508789,587.212768555
-1216000,2675200,581.518005371,562.595397949,552.481445312,548.237548828,566.263427734,552.02923584,570.389526367,581.50958252,586.847106934
-1094400,2675200,566.263427734,552.481445312,548.237548828,531.500854492,534.25769043,519.206787109,552.02923584,570.389526367,581.518005371
-972800,2675200,534.25769043,548.237548828,531.500854492,503.270812988,492.38092041,476.458343506,519.206787109,552.02923584,566.263427734
-851200,2675200,492.38092041,531.500854492,503.270812988,492.418182373,472.648010254,454.527313232,476.458343506,519.206787109,534.25769043
-729600,2675200,472.648010254,503.270812988,492.418182373,477.838470459,453.032012939,438.812896729,454.527313232,476.458343506,492.38092041
-608000,2675200,453.032012939,492.418182373,477.838470459,459.710388184,437.515960693,415.23059082,438.812896729,454.527313232,472.648010254
-486400,2675200,437.515960693,477.838470459,459.710388184,465.215118408,433.970397949,397.650299072,415.23059082,438.812896729,453.032012939
-364800,2675200,433.970397949,459.710388184,465.215118408,477.976287842,432.045684814,394.282806396,397.650299072,415.23059082,437.515960693
-243200,2675200,432.045684814,465.215118408,477.976287842,486.154266357,442.623291016,403.229187012,394.282806396,397.650299072,433.970397949
-121600,2675200,442.623291016,477.976287842,486.154266357,479.421295166,440.746795654,419.316741943,403.229187012,394.282806396,432.045684814
0,2675200,440.746795654,486.154266357,479.421295166,473.427307129,433.224060059,421.852539062,419.316741943,403.229187012,442.623291016
121600,2675200,433.224060059,479.421295166,473.427307129,469.937988281,435.888061523,423.441101074,421.852539062,419.316741943,440.746795654
243200,2675200,435.888061523,473.427307129,469.937988281,477.415039062,456.466796875,430.302490234,423.441101074,421.852539062,433.224060059
364800,2675200,456.466796875,469.937988281,477.415039062,489.463317871,486.920166016,453.095947266,430.302490234,423.441101074,435.888061523
486400,2675200,486.920166016,477.415039062,489.463317871,500.251647949,519.252746582,483.918731689,453.095947266,430.302490234,456.466796875
608000,2675200,519.252746582,489.463317871,500.251647949,501.305908203,530.300354004,509.989562988,483.918731689,453.095947266,486.920166016
729600,2675200,530.300354004,500.251647949,501.305908203,517.410766602,537.992614746,526.914001465,509.989562988,483.918731689,519.252746582
851200,2675200,537.992614746,501.305908203,517.410766602,550.993591309,557.928405762,547.411560059,526.914001465,509.989562988,530.300354004
972800,2675200,557.928405762,517.410766602,550.993591309,579.824707031,577.186340332,567.983154297,547.411560059,526.914001465,537.992614746
1094400,2675200,577.186340332,550.993591309,579.824707031,606.401306152,590.070068359,583.142822266,567.983154297,547.411560059,557.928405762
1216000,2675200,590.070068359,579.824707031,606.401306152,652.124816895,628.481201172,616.805053711,583.142822266,567.983154297,577.186340332
1337600,2675200,628.481201172,606.401306152,652.124816895,713.031860352,688.666748047,672.233459473,616.805053711,583.142822266,590.070068359
