x-axis,y-axis,ice_thickness,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
3040000,2796800,0.0,810.530822754,272.589324951,9.969209968390001e+36,4130821.9811558085,9.969209968390001e+36,272.73011271166666,9.969209968390001e+36,838.2789103188334
-3040000,2675200,0.0,682.87487793,274.880950928,9.969209968390001e+36,4049480.8358603204,9.969209968390001e+36,274.7053273518333,9.969209968390001e+36,683.0640055338332
-2918400,2675200,0.0,681.442321777,274.574279785,9.969209968390001e+36,3959009.1689714487,9.969209968390001e+36,274.5469021266667,9.96920996839e+36,681.5478108724443
-2796800,2675200,0.0,673.603393555,274.197998047,9.969209968390001e+36,3870243.5685625784,9.969209968390001e+36,274.1181979707778,9.96920996839e+36,680.047648112
-2675200,2675200,0.0,670.077331543,273.550323486,9.969209968390001e+36,3783304.122060504,9.969209968390001e+36,273.54273478188884,9.96920996839e+36,676.7994859483333
-2553600,2675200,0.0,669.465209961,272.779968262,9.969209968390001e+36,3698319.6184213175,9.969209968390001e+36,272.8937683105556,9.96920996839e+36,667.3237711587776
-2432000,2675200,0.0,646.627868652,272.207763672,9.969209968390001e+36,3615427.9193478604,9.969209968390001e+36,272.3402811687777,9.96920996839e+36,644.3199259439999
-2310400,2675200,0.0,601.879150391,271.874725342,9.969209968390001e+36,3534776.2588316677,9.969209968390001e+36,271.86214870888887,9.96920996839e+36,613.7514512804444
-2188800,2675200,0.0,575.01159668,271.407409668,9.969209968390001e+36,3456521.442143821,9.969209968390001e+36,271.2824062772222,8.861519971902223e+36,590.0175984701111
-2067200,2675200,0.0,574.278259277,270.5909729,9.969209968390001e+36,3380829.909948148,9.969209968390001e+36,270.5476616753333,6.646139978926668e+36,583.2562188043335
-1945600,2675200,0.0,587.101135254,269.754547119,273.41418457,3307877.62772446,3.6596374509999805,269.7274983723334,4.4307599859511117e+36,586.0903659397777
-1824000,2675200,0.0,593.201904297,268.978637695,273.196960449,3237849.755624865,4.218322754000042,268.9607103135555,2.2153799929755558e+36,587.103583442
-1702400,2675200,0.0,586.335510254,268.269439697,273.036590576,3170940.0498905685,4.767150878999985,268.25669013122223,1.1076899964877779e+36,582.9672037761111
-1580800,2675200,0.0,576.10357666,267.617553711,272.923736572,3107349.944888731,5.306182860999968,267.5756157767778,272.9380391438889,580.9670884874445
-1459200,2675200,0.0,587.212768555,266.91519165,272.85534668,3047287.265749654,5.940155030000028,266.9159240721111,272.8753492567778,579.3196411133333
