x-axis,y-axis,ice_velocity,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
-243200,2796800,,477.976287842,264.778594971,272.731445312,2807353.9997656154,7.952850340999987,264.87239147369047,272.70620509559524,458.19799732028576
-121600,2796800,,486.154266357,264.798828125,272.728424072,2799442.2301594294,7.929595946999996,264.90262349445237,272.7082606725,456.82927231557153
0,2796800,,479.421295166,264.860565186,272.740966797,2796800.0,7.880401611000025,264.9455319359286,272.7201872326429,458.16398184633346
121600,2796800,,473.427307129,264.8777771,272.769775391,2799442.2301594294,7.891998290999993,265.0006728399762,272.7466648646905,461.40207127157146
243200,2796800,,469.937988281,264.943725586,272.775756836,2807353.9997656154,7.83203125,265.09610493978573,272.78422982352384,465.59115237276194
364800,2796800,,477.415039062,265.056213379,272.807647705,2820490.9643535465,7.751434326000037,265.2326129731905,272.83279418949996,471.16540745319054
486400,2796800,,489.463317871,265.238372803,272.876556396,2838780.5832786723,7.638183593000008,265.39462643583335,272.89291527159526,479.44162859230954
608000,2796800,,500.251647949,265.481628418,272.958587646,2862124.078372564,7.476959227999998,265.58449227471425,272.9709247407619,491.9980105445476
729600,2796800,,501.305908203,265.796600342,273.091033936,2890399.0035979464,7.294433593999997,265.79761396140475,273.07202802383335,509.19101969404755
851200,2796800,,517.410766602,266.09085083,273.254943848,2923462.276137662,7.16409301799996,266.0488223121667,273.19216482976185,530.4398498535238
972800,2796800,,550.993591309,266.348449707,273.432800293,2961153.504970656,7.084350586000028,266.3475123814524,273.3278365361666,556.5598144531428
1094400,2796800,,579.824707031,266.605865479,273.629669189,3003298.453367564,7.023803710000038,266.673774356,2.3736214210452383e+35,587.9114597866192
1216000,2796800,,606.401306152,266.918121338,273.79006958,3049712.4848090187,6.87194824200003,267.0251406715714,4.7472428420904766e+35,621.7810305641667
1337600,2796800,,652.124816895,267.288726807,273.895843506,3100203.8642644132,6.6071166990000165,267.4122873942381,9.494485684180953e+35,656.7607959565953
1459200,2796800,,713.031860352,267.751342773,273.946350098,3154576.8147249166,6.195007325000006,267.84190078011903,1.661534994731667e+36,691.8289736793096
1580800,2796800,,744.032409668,268.299133301,273.979797363,3212634.258673091,5.680664062000005,268.3175012497857,2.3736214210452383e+36,726.807521275119
1702400,2796800,,763.607421875,268.781738281,274.032958984,3274180.2027377784,5.251220703000001,268.8320741199524,3.323069989463334e+36,761.3048822312619
1824000,2796800,,784.834838867,269.286224365,9.969209968390001e+36,3339021.7489558225,9.969209968390001e+36,269.3820190430238,4.5098806999859526e+36,791.988396054262
1945600,2796800,,806.818603516,269.82901001,9.969209968390001e+36,3406970.736592846,9.969209968390001e+36,269.94677734378575,5.696691410508572e+36,818.4721868605475
2067200,2796800,,827.688964844,270.412750244,9.969209968390001e+36,3477845.0339254625,9.969209968390001e+36,270.50575111028564,6.883502121031191e+36,846.0187508719047
2188800,2796800,,836.240661621,271.054534912,9.969209968390001e+36,3551469.5099352887,9.969209968390001e+36,271.0452503022857,7.832950689449287e+36,873.8128385998095
2310400,2796800,,860.995300293,271.575866699,9.969209968390001e+36,3627676.7220908757,9.969209968390001e+36,271.5454079764524,8.545037115762856e+36,896.8736935570238
2432000,2796800,,917.663391113,271.982452393,9.969209968390001e+36,3706307.359083971,9.969209968390001e+36,271.9935607910476,9.257123542076428e+36,910.973268054762
2553600,2796800,,956.715942383,272.289642334,9.969209968390001e+36,3787210.4773830567,9.969209968390001e+36,272.3721386138095,9.731847826285475e+36,913.7203805105237
2675200,2796800,,955.321899414,272.517028809,9.969209968390001e+36,3870243.5685625784,9.969209968390001e+36,273.07941545759525,9.969209968389999e+36,907.3645586285477
2796800,2796800,,924.059814453,272.659698486,9.969209968390001e+36,3955272.4912450723,9.969209968390001e+36,273.3092481825278,9.96920996839e+36,910.4357723659444
2918400,2796800,,868.924316406,272.692108154,9.969209968390001e+36,4042171.2977062217,9.969209968390001e+36,273.53533020020006,9.969209968390002e+36,906.6540974934335
